company_id,name,industry,description,year_founded,employees,state,city,area,revenue,expenses,profit,growth
21,Geocom,Telecommunications,"A single source provider for microwave point-to-point and point-to-multipoint radio networks. Its specialties include applications for wireless backhaul, ultra low latency HFT and wireless point to point communication links.",2010,115,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA","$9,442,768","$4,380,961","$5,061,807",563%
22,Stripfind,Financial Services,Provides cloud-based electronic payment and social marketing software to businesses of all sizes.,2010,25,FL,Boca Raton,Miami,"$10,329,371","$2,916,455","$7,412,916",305%
23,Canecorporation,Health,"Manufactures and markets a noninvasive electrotherapy medical device that treats depression, anxiety, and insomnia without drugs.",2012,6,NY,New York,New York City,"$10,597,009","$5,591,189","$5,005,820",426%
24,Cankix,Business Products & Services,A boutique experience research and design agency.,2010,15,NY,New York,New York City,"$8,719,723","$2,513,917","$6,205,806",301%
25,Mattouch,IT Services,Provides design and development services for websites and mobile apps as well as providing marketing strategy.,2013,6,WA,Bellevue,Seattle,"$9,026,934","$7,429,377","$1,597,557",517%
26,Physgreen,Consumer Products & Services,Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,2013,800,CO,Fort Collins,"Boulder, CO","$10,376,897","$2,724,847","$7,652,049",470%
27,Cantonlux,Food & Beverage,"Imports chocolate and bulk non-GMO sweeteners primarily from Columbia, warehouses them in public warehouses throughout North America and sells them to industrial food manufacturers.",2012,7,KS,Overland Park,"Kansas City, MO-KS","$9,922,155","$1,888,735","$8,033,420",419%
28,Techdrill,Health,Works with a discount medical plan organization (DMPO) to offer a provider-owned network of chiropractors who want to assist patients who are uninsured or underinsured by offering discounts upon membership.,2009,9,MS,Flowood,"Jackson, MS","$10,573,990","$5,435,363","$5,138,627",470%
29,Techline,IT Services,Provides professional staff that are knowledgeable in multiple areas of digital technology to companies undergoing critical changes and growth.,2006,65,CA,San Ramon,San Francisco,"$8,898,119","$5,470,303","$3,427,816",361%
30,Ganzhouse,Human Resources,"An executive search, consulting, and staffing firm with five practice groups: financial services, accounting and finance, IT, administrative services, and health care staffing.",2012,44,GA,Atlanta,Atlanta,"$13,877,423","$5,878,552","$7,998,871",286%
31,Cityace,Health,A biopharmaceutical company focused on developing products for the treatment of cancer and infectious diseases based on its proprietary Tarmogen platform. It has four Tarmogen product candidates in clinical evaluation for infectious disease and multiple cancer indications.,2010,25,CO,Louisville,"Boulder, CO","$9,254,614","$4,249,498","$5,005,116",591%
32,Tres-How,Advertising & Marketing,"A full-service promotional marketing agency that designs and implements live event campaigns featuring its roster of models, dancers, costume characters, emcees, artists, and drivers.",2013,12,FL,Fort Myers,"Cape Coral-Fort Myers, FL","$7,028,880","$2,870,973","$4,157,907",356%
33,Domphase,Business Products & Services,"A meetings and events organizer that sources venues, plans events, and manages registration for companies in the financial, professional services and technology sectors.",2007,16,NY,New York,New York City,"$7,361,116","$4,029,600","$3,331,516",469%
34,Kayelectronics,Health,Owns and operates urgent care facilities throughout North Carolina and Arizona. It offers walk-in medical services and delivery of medication to patients.,2009,687,NC,Clayton,"Raleigh-Cary, NC","$9,451,943","$1,878,113","$7,573,830",339%
35,Ganzlax,IT Services,"A technology consulting firm that delivers cusomized services to commercial and government clients including Freddie Mac, Home Depot, and Honda.",2011,75,NJ,Iselin,New York City,"$9,001,180","$5,480,069","$3,521,111",439%
36,Trantraxlax,Government Services,"Offers systems integration, project management and strategy consulting to federal clients such as the Naval Research Laboratory and NASA's Independent Program Assessment Office.",2011,35,VA,Suffolk,"Virginia Beach-Norfolk-Newport News, VA-NC","$11,088,336","$4,635,276","$6,453,059",492%
37,Silicon-Hex,Food & Beverage,"Makes organic ice cream, selling dozens of flavors at its four scoop shop locations, as well as selling packaged varieties and selling to cafes and restaurants across the country.",2012,58,CA,Petaluma,San Francisco,"$8,442,982","$4,760,362","$3,682,620",391%
38,E-Zim,Retail,"Operates a family of online stores that supply products that create and maintain a healthy, safe, efficient and comfortable home environment. Offerings include heating and cooling, plumbing, air conditioning, and refrigeration products.",2008,21,OH,Monroe,Cincinnati,"$8,746,451","$4,762,319","$3,984,131",284%
39,Daltfase,Software,"Develops technology used by the music industry, including artists, managers, labels, venues and festivals, for promotion, content management and cross-media licensing opportunities.",2011,78,NC,Durham,"Durham, NC","$11,410,628","$6,196,409","$5,214,219",375%
40,Alphalex,Advertising & Marketing,A full-service incentive Internet marketing agency.,2012,4,FL,Sarasota,"Panama City-Lynn Haven, FL","$9,423,617","$2,248,331","$7,175,285",278%
41,Ozerholdings,Energy,"Specializes in asset integrity for the oil & gas, chemical and mining industries. PinnacleAIS offers software targeting inspection data management, risk-based inspection and vessel & stress analysis.",2012,278,TX,Pasadena,Houston,"$7,411,035","$5,207,964","$2,203,071",491%
42,Subflex,Consumer Products & Services,"A consumer trade-in site that exchanges used cell phones and other electronic gadgets for cash, then resells or recycles them. To date it has accepted more than 1.5 million trade-ins.",2010,136,MA,Boston,Boston,"$11,205,063","$4,368,200","$6,836,863",420%
43,Hotlane,Government Services,"Provides software development, engineering, programmatic support, data integration, systems development, enterprise architecture, material procurement. and meteorological services to customers in the Department of Defense and in private industry.",2012,87,AL,Huntsville,"Huntsville, AL","$7,978,332","$4,686,574","$3,291,759",307%
44,Salttrans,Consumer Products & Services,"A curated guide to shopping deals with more than 10 million e-mail subscribers and partnerships with more than 3,000 retailers.",2012,48,IL,Chicago,Chicago,"$7,346,281","$3,298,690","$4,047,591",708%
45,Lathotline,Health,"Specializes in clinical and consulting services for health-focused federal agencies as well as the health care industry. Specific areas of expertise include clinical services, military and veterans health, federal health care initiatives, pharmacy consulting, technology, and global public health.",2012,103,VA,McLean,"Washington, DC","$9,418,303","$7,567,233","$1,851,070",494%
46,E-Care,Advertising & Marketing,"Specializes in creating custom marketing programs aimed at niche readers of digital arts, culture and style publications, combining content, innovative displays, pop-up shops, applications and events.",2011,23,NY,New York,New York City,"$8,365,394","$5,976,073","$2,389,321",546%
47,Opedrill,Telecommunications,"Offers high-bandwidth, low-latency networking services for financial, content, carrier, and enterprise customers. Its direct linear connections provide microsecond carriage throughout most of the major exchanges within the New York and New Jersey area. Its X-change Connect platform is also available at major international financial hubs including Toronto, London, Singapore, and Hong Kong.",2009,13,NJ,Paramus,New York City,"$7,789,730","$2,039,850","$5,749,880",332%
48,Lambam,IT Services,"Develops comprehensive software for virtual, physical and cloud-based backup and disaster recovery, allowing IT professionals to protect and quickly restore data, applications and operating systems.",2012,210,SC,Columbia,"Columbia, SC","$6,950,148","$4,365,512","$2,584,636",488%
49,Quotedax,Food & Beverage,A chocolate manufacturing company that was founded by Peace Corp volunteers to create new economies in Africa. Its products are available at retailers nationwide and online.,2010,8,NY,Brooklyn,New York City,"$8,984,621","$6,227,869","$2,756,752",264%
50,Cityla,Human Resources,"An online, membership-based community of more than 375,000 people looking for their next career opportunities in hedge funds, investment banking and technology.",2013,38,NY,New York,New York City,"$6,104,275","$5,135,359","$968,916",406%
51,Quotecity,Consumer Products & Services,"Builds trailers for all purposes, from smaller cargo carriers to large custom-built truck trailers. LOOK partners with dealers and to provide products that offer value, special features, and customer service.",2010,360,IN,Middlebury,"Elkhart-Goshen, IN","$10,878,837","$3,974,483","$6,904,353",584%
52,Vaia-Dax,Logistics & Transportation,"Offers commercial trucking fleet safety, security, and productivity technology products.",2008,5,CA,Newport Beach,Los Angeles,"$10,345,435","$4,113,502","$6,231,933",278%
53,Zimkeyfind,Consumer Products & Services,Offers a variety of e-liquids and innovative products used in e-cigarettes.,2012,52,WI,Hartland,"Milwaukee-Waukesha-West Allis, WI","$6,732,003","$7,459,279","-$727,276",251%
54,Quozap,Software,"Creates mobile real estate applications that enable clients to search for homes by GPS location or by city, state, or ZIP code.",2004,21,NJ,Collingswood,Philadelphia,"$9,304,480","$7,019,973","$2,284,507",353%
55,Medunoway,Business Products & Services,"A commercial barter company that operates an online network for businesses featuring more than 36,000 services and items that members can trade using online credits.",2009,17,AZ,Phoenix,Phoenix,"$9,849,067","$1,454,546","$8,394,521",390%
56,Tampware,Construction,"A full-service architecture firm that specializes in tenant finish and ground-up projects for the office, retail, health care, industrial, and energy industries.",2011,13,TX,Houston,Houston,"$9,785,982","$2,910,756","$6,875,225",429%
57,Tindex,Computer Hardware,Provides clients with a streamlined purchasing process for IT hardware. Avanti offers a product line of more than 4 million parts.,2011,11,MN,Spring Park,Minneapolis,"$12,159,973","$4,909,604","$7,250,368",427%
58,Dalthow,Health,"Provides software focused on the areas of medical coding, compliance, and education with the goal of increasing revenue for its health-care-providing customers by making sure all services are reimbursed and any audits are understood and implemented properly.",2000,20,GA,Dacula,Atlanta,"$10,800,718","$5,731,820","$5,068,898",418%
59,Scotphase,Insurance,A home warranty is a service contract that covers the repair or replacement of many of the most frequently occurring breakdowns of home system components and appliances.,2009,87,NJ,Edison,New York City,"$8,069,233","$6,229,960","$1,839,273",239%
60,Ranktech,Government Services,Provides global manpower support for a broad spectrum of technical and tactical service requirements for the Department of Defense and other US government agencies.,2010,607,FL,Tampa,Tampa,"$10,515,557","$6,439,384","$4,076,173",408%
61,Gogotax,Telecommunications,"Develops safe driving systems to improve driver behavior with real-time mentoring and alerts. Its software is marketed to business fleets, racing organizations and parents with teen drivers.",2010,218,UT,Salt Lake City,Salt Lake City,"$5,653,905","$6,877,747","-$1,223,842",593%
62,Unadex,Software,Develops SaaS online training for health care and human services providers including senior care and corrections workers and intellectual and developmental disabilities organizations.,2013,280,NC,Cary,"Raleigh-Cary, NC","$6,231,275","$2,388,521","$3,842,755",542%
63,Haycorporation,Human Resources,"A staffing and technology firm that offers talent placement, payroll outsourcing, vendor management, managed services for system integration projects and project management.",2011,123,CA,Irvine,Los Angeles,"$10,212,233","$394,323","$9,817,910",175%
64,Groovecane,Construction,"A homebuilder that constructs traditional homes, cottages, townhomes, and condos.",2011,17,UT,South Jordan,Salt Lake City,"$6,811,168","$3,560,343","$3,250,824",404%
65,Funrantex,Business Products & Services,"A B2B appointment setting, lead generation, and sales outsourcer for midmarket and enterprise-level organizations.",2012,42,FL,Coral Springs,Miami,"$10,609,756","$963,096","$9,646,660",229%
66,Tambase,Software,Provides enterprise application licensing and a range of IT consulting services to mid-sized businesses.,2010,29,AZ,Scottsdale,Phoenix,"$10,141,817","$2,394,135","$7,747,682",427%
67,Georedfase,IT Services,Provides IT consulting and system integration services to organizations with challenging technology initiatives.,2008,19,VA,Vienna,"Washington, DC","$8,165,222","$810,126","$7,355,096",487%
68,Konktraxbam,Software,"Provides a suite of customer loyalty, sales, and marketing software products for business of all kinds and sizes. Its core offerings are Rider Rewards and the Let's Buy Local mobile app.",2011,3,WI,Franklin,"Milwaukee-Waukesha-West Allis, WI","$12,504,780","$4,682,545","$7,822,235",406%
69,Stanquote,IT Services,"Offers technology consulting, IT staffing, Web design, custom apps, and data services for clients ranging from small local businesses to major corporations.",2011,133,IL,Des Plaines,Chicago,"$10,421,180","$374,816","$10,046,364",430%
70,Lexiholding,Health,"Specializes in the placement of physical, occupational, and speech therapists to schools, hospitals, clinics, skilled nursing facilities, home health clients, and teletherapy services.",2011,10,CA,Newport Beach,Los Angeles,"$6,595,798","$4,917,351","$1,678,447",495%
71,Incon,Food & Beverage,"Operates a healthy-eating restaurant chain that specializes in custom-made salads, healthy and hearty soups, and a wide range of sandwiches. The Big Salad connects with customers in a light and encouraging way through its human and often funny social media initiatives.",2010,75,MI,Grosse Pointe Farms,Detroit,"$12,433,991","$1,149,020","$11,284,971",361%
72,Inconduo,Engineering,Designs plans for educational institutions to reach their campus sustainability and energy management goals.,2012,27,MA,Watertown,Boston,"$8,822,677","$714,459","$8,108,218",298%
73,Mediahex,IT Services,"An enterprise consulting services provider specializing in services that automate IT management and workflow across the desktop, datacenter, and cloud.",2005,29,TX,Houston,Houston,"$9,772,570","$3,685,640","$6,086,930",460%
74,Triojob,Financial Services,"Provides technology, service and and a competitive (wholesale) price to merchants accepting MasterCard, Visa, Discover, and American Express as forms of payment.",2011,33,TX,Dallas,Dallas,"$7,403,633","$667,051","$6,736,582",287%
75,Quadice,Insurance,"Provides affordable and comprehensive home warranty plans for homeowners in Arizona, Idaho, Nevada, Oregon, Texas, Utah and soon nationwide.",2007,80,UT,Riverton,Salt Lake City,"$5,627,074","$1,693,553","$3,933,521",620%
76,Sanfan,Consumer Products & Services,"Buys unused gift cards from consumers for up to 90% of the cards' value, then resells them online for less than face value.",2010,11,MD,Ellicott City,Baltimore,"$12,127,885","$3,971,036","$8,156,848",520%
77,D-Is,Logistics & Transportation,"Provides valued truckload and LTL brokered freight services with a focus on transparency, technology and customer service.",2010,29,TX,Austin,Austin,"$8,374,283","$2,857,916","$5,516,367",334%
78,Latfan,Real Estate,Offers full-service real estate brokerage and property management services.,2011,9,VA,Charlottesville,"Charlottesville, VA","$8,396,546","$1,851,054","$6,545,492",417%
79,Ining,Business Products & Services,A consulting firm focused exclusively on improving business-to-business sales and marketing effectiveness.,2012,18,GA,Atlanta,Atlanta,"$11,022,415","$1,810,516","$9,211,899",441%
80,D-Zoocare,Financial Services,A global private equity and venture capital data provider that offers a technology platform on a subscription basis to help private market participants make informed business decisions.,2010,98,WA,Seattle,Seattle,"$7,153,440","$4,445,885","$2,707,554",557%
81,O-Dax,Engineering,"Designs and manufactures state-of-the-art farm management tools and Web services that enable farmers to better manage their activities and resources. Its system integrates data from many sources in order to forecast best seed selections, yield and time and locations to sell grains at optimal value.",2004,50,MO,Archie,"Kansas City, MO-KS","$12,919,391","$3,666,990","$9,252,401",344%
82,Solocone,Education,"Sells subscriptions of EasyBib to schools and colleges, along with an online learning platform that teaches and assesses research skills called ResearchReady.",2012,33,NY,New York,New York City,"$12,658,910","$4,501,133","$8,157,777",343%
83,Zun-Trax,Retail,"Sells retail and wholesale golf carts to consumers and dealers throughout the United States. The golf cart"" market has expanded to include racetracks",2013,23,SC,Columbia,"Columbia, SC","$7,732,190","$4,437,655","$3,294,535",255%
84,Biotain,Construction,"Builds and remodels maintenance facilities, campus centers, schools, showrooms, and other commercial and public projects.",2012,62,IA,Davenport,"Davenport-Moline-Rock Island, IA-IL","$11,642,543","$4,781,280","$6,861,263",591%
85,Icezap,Engineering,"Offers project management and engineering support services in the design, development and manufacture of technological products. IEDS specializes in serving the aerospace, telecom and military industrial communities.",2012,43,AZ,Scottsdale,Phoenix,"$9,235,777","$3,361,790","$5,873,987",321%
86,Newjofix,Financial Services,Connects buyers and sellers in 196 countries worldwide by enabling merchants to quickly and securely accept payments online.,2010,90,CA,West Hollywood,Los Angeles,"$10,339,863","$3,415,312","$6,924,552",519%
87,Opetechno,Real Estate,Sells commercial and residential real properties in Florida.,2012,7,FL,Tampa,Tampa,"$9,898,288","$5,885,439","$4,012,849",534%
88,Zathline,Telecommunications,"Specializes in the design of circuits, high-speed digitizers, and systems for telecommunications applications.",2010,22,TX,Austin,Austin,"$9,738,858","$4,398,323","$5,340,535",335%
89,Ozer-Dox,Health,Operates a network of self-service health kiosks in retail pharmacies where consumers can test their vision and blood pressure as well as receive weight management and health risk assessment services.,2013,35,GA,Duluth,Atlanta,"$9,621,471","$4,759,243","$4,862,227",395%
90,Iscom,Health,"Uses healthcare data, predictive analytics and experts to improve wellness and quality, decrease costs and missed opportunities and drive ROI and sustainability.",2013,595,CT,West Hartford,"Hartford-West Hartford-East Hartford, CT","$8,027,658","$5,221,158","$2,806,499",353%
91,Freshtechno,Security,"Sells a theft-recovery device, SkyLINK, that uses GPS technology to track stolen vehicles in real-time for quicker recovery.",2011,40,AZ,Phoenix,Phoenix,"$10,603,211","$6,075,482","$4,527,729",416%
92,Istone,Software,"Provides mobile app strategy, design and development for businesses and organizations. Specializes in app design for major mobile platforms such as Android, iOs and Windows Mobile.",2011,50,VA,Reston,"Washington, DC","$5,424,720","$461,975","$4,962,745",477%
93,Domtam,Food & Beverage,"Manufactures healthful, natural dog treats and food supplements.",2012,0,TX,Dallas,Dallas,"$10,795,733","$821,994","$9,973,739",508%
94,Ganzgreen,Health,A national provider of management consulting and information technology services to the healthcare industry.,2010,224,TN,Franklin,Nashville,"$6,598,854","$4,602,002","$1,996,852",356%
95,Zamhouse,Construction,"Offers versatile directional drilling, electrical, or fiber optic project construction services. The first directional drilling contractor in Maine, its extensive growth comes from repeat business from happy customers.",2009,39,ME,Lisbon Falls,"Lewiston-Auburn, ME","$7,543,695","$6,561,021","$982,674",339%
96,Openjocon,Construction,"A carpentry firm that specializes in finish carpentry, architectural millwork, retail furniture, and fixtures for hospitality, retail, and high-end residential and commercial markets.",2013,75,IL,Midlothian,Chicago,"$11,374,343","$4,273,207","$7,101,136",362%
97,Trisity,Health,"Provides a comprehensive line of rapid immunodiagnostic test products for clinical, consumer, and workplace applications.",2012,26,CA,San Diego,San Diego,"$6,918,290","$6,344,372","$573,918",184%
98,Planetice,Health,"Provides caring, health-oriented dentistry and places a strong emphasis on getting to know each patient, comfortable dentistry, and using only the most advanced materials and procedures available.",2012,42,MD,Silver Spring,"Washington, DC","$10,757,724","$4,782,077","$5,975,646",261%
99,Canunoice,Logistics & Transportation,"A supply chain systems implementation and consulting firm focused on helping companies solve their distribution, fulfillment, and transportation challenges.",2012,20,NJ,Paramus,New York City,"$6,978,995","$4,814,152","$2,164,843",375%
100,Villadox,Construction,"Provides construction services in southern California including reconstruction services, heating & air installation service and janitorial & facilities services.",2012,20,CA,Carlsbad,San Diego,"$8,651,649","$1,097,353","$7,554,297",554%
101,Alphacane,Retail,"A factory-direct reseller offering outdoor equipment such as storage sheds, barns and carports.",2013,3,MO,O'Fallon,"St. Louis, MO-IL","$5,903,763","$5,873,666","$30,098",495%
102,Rankcone,Government Services,"Supports the U.S. Special Operations Command, the departments of Homeland Security and State, and other government organizations with security, training, safety, logistics and consulting services.",2011,36,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC","$6,036,944","$8,837,188","-$2,800,244",507%
103,Iceice,Government Services,"Provides professional services such as business management consulting, IT lifecycle support and systems engineering services for the federal government.",2010,21,WV,Star City,"Morgantown, WV","$6,352,466","$455,581","$5,896,885",352%
104,Hex-Ity,Consumer Products & Services,"Sells aftermarket automotive parts and accessories online, specializing in Camaro and other late-model performance vehicles.",2011,5,TX,Houston,Houston,"$11,250,184","$5,912,242","$5,337,942",439%
105,Fixquadtech,Health,Provides medical alert services to senior citizens nationwide.,2012,85,PA,Philadelphia,Philadelphia,"$8,299,901","$4,968,474","$3,331,428",375%
106,Zonhigh,IT Services,"Consults clients about business intelligence, enterprise resource planning, Internet technology and infrastructure development.",2010,96,IL,Chicago,Chicago,"$7,723,684","$4,498,099","$3,225,585",385%
107,Mathcorporation,Energy,A commercial electrical contractor that specializes in renewable energy and commercial and industrial electric design and installation.,2010,110,CA,Brentwood,San Francisco,"$2,663,591","$5,507,261","-$2,843,670",406%
108,Toughway,Financial Services,"Provides checking, savings & money markets, business loans, SBA loan programs, portfolio residential mortgages, and association and treasury services.",2010,219,FL,St. Petersburg,Tampa,"$11,442,136","$5,291,056","$6,151,079",357%
109,Bluetexon,IT Services,"Offers project and portfolio management, IT governance and compliance and software quality management.",2010,117,TX,Plano,Dallas,"$7,685,910","$8,350,913","-$665,002",395%
110,Nimvivafind,Financial Services,"Offers a credit repair program designed to help consumers get negative, inaccurate, outdated, and erroneous items removed from their credit reports.",2009,34,NJ,Newark,New York City,"$9,605,855","$4,632,247","$4,973,608",334%
111,Eremenko,Financial Services,"A no-fee, direct mortgage lender offering low rates on home loans such as FHA, VA and USDA loans. Its clients save an average of $3,000 at closing.",2012,60,FL,Maitland,"Orlando, FL","$9,445,633","$5,162,905","$4,282,728",515%
112,Keycone,Business Products & Services,Develops online systems that give health insurance providers flexibility and control over document management and delivery of communications.,2000,62,CT,Madison,"New Haven-Milford, CT","$8,951,131","$4,213,650","$4,737,481",526%
113,Hot-Electrics,IT Services,"Offers services in the areas of emerging technologies, information technology, and intelligence and cyber security to government agencies, law enforcement, and clients in health care and education.",2006,46,GA,Augusta,"Augusta-Richmond, GA-SC","$12,214,068","$1,412,142","$10,801,926",595%
114,Namdom,Software,"Provides Web experience management, application development and cloud enablement services to businesses across the globe.",2013,105,IL,Chicago,Chicago,"$9,362,411","$2,544,307","$6,818,104",251%
115,Betais,Telecommunications,Designs and delivers a small footprint NFC multi-chip module with an embedded security chip that can interface with all smartphone platforms.,2010,30,TX,Richardson,Dallas,"$7,517,507","$4,304,315","$3,213,192",454%
116,Tempbam,Software,Provides analytics software to track all of a website's SEO and inbound marketing efforts on one platform.,2013,134,WA,Seattle,Seattle,"$9,980,591","$6,089,130","$3,891,461",353%
117,Goodhouse,IT Services,"Provides IT staffing and managed services such as application development, middleware, mobile app development, business intelligence, and enterprise resource protocol services to retail, financial, insurance, and health care clients.",2009,63,VA,Herndon,"Washington, DC","$9,833,220","$5,667,425","$4,165,795",388%
118,Trisbam,Media,Publishes specialty magazines and newsletters serving exclusive communities across the country. It works with homeowner's associations and small municipalities.,2003,400,NC,Wilmington,"Wilmington, NC","$7,201,918","$1,155,786","$6,046,132",256%
119,Technoline,Advertising & Marketing,Provides marketing strategy and related IT services to Fortune 1000 and large middle-market clients through partnership with Salesforce.,2009,98,MN,St. Louis Park,Minneapolis,"$9,069,262","$5,346,509","$3,722,752",384%
120,Biokaycane,Advertising & Marketing,Provides online marketing services including web design and development as well as digital marketing strategic consulting.,2010,22,SD,Sioux Falls,"Sioux Falls, SD","$9,802,438","$5,568,391","$4,234,048",450%
121,Truelane,Energy,"Provides governmental, institutional, industrial and commercial clients with ways to increase energy efficiency in existing structures.",2013,11,RI,Smithfield,"Providence-New Bedford-Fall River, RI-MA","$6,071,997","$4,171,805","$1,900,192",402%
122,Zimdex,Human Resources,A human capital management corporation that offers customized recruitment services to businesses.,2011,314,OH,Columbus,"Columbus, OH","$4,475,874","$2,054,338","$2,421,536",553%
123,Remedia,Advertising & Marketing,"An ad technology and media company that facilitates the creation, demand and supply of digital advertising for more than 1,500 Web and mobile publishers and reaches more than 150 million unique visitors per month.",2008,50,TX,Austin,Austin,"$8,687,895","$5,578,395","$3,109,500",295%
124,Sumzoomit,Construction,"A semi-custom production home builder that finished construction of 180 homes in 2013 and started 215. It focuses on energy efficiency, healthier indoor air quality, and sustainable building practices.",2010,32,MO,Lee's Summit,"Kansas City, MO-KS","$8,429,577","$7,703,652","$725,925",369%
125,Goodtex,Government Services,"An IT services provider to federal government agencies, including the Departments of Homeland Security, Defense and the Navy.",2011,150,VA,Tysons Corner,"Washington, DC","$13,118,996","$8,860,686","$4,258,310",354%
126,Ranquote,Health,"A platform-technology company that provides devices, diagnostics, infection control and imaging for specialists treating a wide range of gastrointestinal diseases. It has over 2,500 customers and distribution in 34 distribution partners worldwide.",2013,400,GA,Alpharetta,Atlanta,"$7,147,363","$7,206,340","-$58,977",508%
127,Zathtone,Software,Provides software that makes it possible to easily deploy application delivery technology on-demand. Its Loadmaster family of products are used with many well-known business applications.,2009,121,NY,New York,New York City,"$9,953,759","$4,069,681","$5,884,078",292%
128,Vivacode,Construction,"Specializes in general contracting, project oversight, construction management, and design/build for commercial, heavy civil, and municipal jobs.",2009,28,LA,Lake Charles,"Lake Charles, LA","$9,410,642","$4,117,102","$5,293,540",445%
